optimizer,activation,architecture,training_loss,training_accuracy,training_mae,training_mse,test_loss,test_accuracy,test_mae,test_mse,label,keywords
Adam,relu,ResNet18,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[0.09945, 0.09945, 0.09945, 0.09945, 0.09945, 0.09945, 0.09945, 0.09945, 0.09945, 0.09945, 0.09945, 0.09945, 0.09945, 0.09945, 0.09945]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",nan,0.0976,nan,nan,milestone-experiments2,benchmark_testing
Adam,selu,ResNet18,"[2.75915807723999, 2.7457870037078855, 2.7314320281982423, 2.7103123958587645, 2.6974616191864014, 2.6998562572479248, 2.685037237930298, 2.7035594776153564, 2.6878427680969237, 2.687568671417236, 2.6831374111175537, 2.680152119445801, 2.749093718338013, 2.7052694438934326, 2.6799652153015137]","[0.14345, 0.13675, 0.13, 0.12915, 0.13515, 0.1243, 0.14715, 0.16, 0.15145, 0.1534, 0.1548, 0.1573, 0.15875, 0.14895, 0.15625]","[7.290054, 7.5761743, 7.8585625, 7.8634963, 7.6870327, 7.5098343, 7.4642453, 7.4889064, 8.45852, 8.81469, 8.901442, 8.810777, 7.68586, 6.3957705, 7.231771]","[7.290054, 7.5761743, 7.8585625, 7.8634963, 7.6870327, 7.5098343, 7.4642453, 7.4889064, 8.45852, 8.81469, 8.901442, 8.810777, 7.68586, 6.3957705, 7.231771]",2.666001097,0.1518,6.3498783,84.206856,milestone-experiments2,benchmark_testing
Adam,tanh,ResNet18,"[3.1177918865203855, 2.8808319023132323, 2.8548071434020996, 2.859187564086914, 2.86979592628479, 2.9037127391815187, 2.8582441883087157, 2.8589114517211915, 2.8760933902740478, 2.844616233444214, 2.8180849430084227, 2.8101032817840577, 2.7930274604797365, 2.8000608623504637, 2.795548698425293]","[0.1027, 0.07985, 0.09985, 0.0974, 0.09765, 0.09715, 0.0753, 0.08915, 0.09735, 0.114, 0.10615, 0.09665, 0.09895, 0.09245, 0.09225]","[0.97345626, 0.98495173, 0.9921624, 0.9886209, 0.9896223, 0.9854253, 0.9997369, 0.9935774, 0.989771, 0.99791735, 0.9984654, 0.99312305, 0.99284387, 1.0024725, 1.002523]","[0.97345626, 0.98495173, 0.9921624, 0.9886209, 0.9896223, 0.9854253, 0.9997369, 0.9935774, 0.989771, 0.99791735, 0.9984654, 0.99312305, 0.99284387, 1.0024725, 1.002523]",2.792032011,0.0982,1.0495615,1.1995702,milestone-experiments2,benchmark_testing
NAdam,relu,ResNet18,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[0.09945, 0.09945, 0.09945, 0.09945, 0.09945, 0.09945, 0.09945, 0.09945, 0.09945, 0.09945, 0.09945, 0.09945, 0.09945, 0.09945, 0.09945]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",nan,0.0976,nan,nan,milestone-experiments2,benchmark_testing
NAdam,selu,ResNet18,"[2.7776411628723143, 2.673513171005249, 2.748101951599121, 2.6738433124542236, 2.67769524230957, 2.663392013549805, 2.6390538768768312, 2.64284938583374, 2.643872911453247, 2.66395454788208, 2.6226861042022707, 2.6124036224365232, 2.631415072250366, 2.640578112792969, 2.6362771392822264]","[0.13075, 0.14605, 0.0728, 0.13255, 0.1412, 0.1562, 0.16225, 0.1608, 0.1608, 0.17135, 0.1635, 0.1704, 0.16655, 0.16055, 0.1593]","[7.107937, 7.90435, 8.246088, 8.913765, 9.448379, 9.872383, 10.041572, 9.91504, 9.918233, 9.821286, 10.1429, 10.273894, 10.305924, 10.455237, 10.259082]","[7.107937, 7.90435, 8.246088, 8.913765, 9.448379, 9.872383, 10.041572, 9.91504, 9.918233, 9.821286, 10.1429, 10.273894, 10.305924, 10.455237, 10.259082]",2.639438853,0.1654,11.970577,271.92355,milestone-experiments2,benchmark_testing
NAdam,tanh,ResNet18,"[2.7719073627471924, 2.7364761150360106, 2.728131090927124, 2.773332243347168, 2.7982792041778564, 2.738521464920044, 2.716266878890991, 2.7210676300048826, 2.802628226852417, 2.7748406478881837, 2.712214915084839, 2.6989664134979248, 2.7120081367492674, 2.7439520572662355, 2.7164225353240967]","[0.0971, 0.1027, 0.1079, 0.1012, 0.1011, 0.10045, 0.1007, 0.1017, 0.09435, 0.0907, 0.09855, 0.0986, 0.0977, 0.1027, 0.10815]","[1.0000798, 0.9923706, 0.9900335, 0.9943447, 0.99429053, 0.9987291, 1.0018305, 0.9964415, 0.99111193, 0.9934229, 1.0045748, 1.0026228, 1.0008703, 0.9939531, 0.9958808]","[1.0000798, 0.9923706, 0.9900335, 0.9943447, 0.99429053, 0.9987291, 1.0018305, 0.9964415, 0.99111193, 0.9934229, 1.0045748, 1.0026228, 1.0008703, 0.9939531, 0.9958808]",2.68654728,0.097,1.0376208,1.1757091,milestone-experiments2,benchmark_testing
RAdam,relu,ResNet18,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[0.0991, 0.09945, 0.09945, 0.09945, 0.09945, 0.09945, 0.09945, 0.09945, 0.09945, 0.09945, 0.09945, 0.09945, 0.09945, 0.09945, 0.09945]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",nan,0.0976,nan,nan,milestone-experiments2,benchmark_testing
RAdam,selu,ResNet18,"[5.882349604797363, 4.50915866317749, 4.478602935791016, 4.076467123413086, 4.525468650054932, 3.5096784603118896, 3.147557121658325, 2.9725017475128173, 2.9256680084228517, 2.8331053047180177, 2.8239227558135984, 2.8510534084320067, 2.901657946395874, 2.8038099376678467, 2.7590020370483397]","[0.1342, 0.1319, 0.1234, 0.1362, 0.0909, 0.09445, 0.097, 0.1048, 0.1215, 0.10765, 0.0882, 0.08925, 0.09755, 0.14945, 0.1535]","[1.9938332, 3.4482887, 4.1979976, 4.7399416, 5.0390925, 5.685048, 6.179945, 6.4097295, 6.5393724, 6.7560806, 7.007416, 6.9423776, 6.8066397, 7.044944, 7.195264]","[1.9938332, 3.4482887, 4.1979976, 4.7399416, 5.0390925, 5.685048, 6.179945, 6.4097295, 6.5393724, 6.7560806, 7.007416, 6.9423776, 6.8066397, 7.044944, 7.195264]",2.756605354,0.122,4.4003053,58.77711,milestone-experiments2,benchmark_testing
RAdam,tanh,ResNet18,"[7.357780581665039, 6.635464844512939, 5.808808769226074, 4.204700625991821, 3.7207281967163084, 3.352401001739502, 3.090063285827637, 3.003996084976196, 2.924395082092285, 3.3122350440979003, 3.235901605606079, 2.994016847229004, 2.897541954803467, 3.0190130184173585, 3.090254987716675]","[0.10655, 0.1161, 0.13195, 0.12525, 0.134, 0.10385, 0.1122, 0.11195, 0.10555, 0.08765, 0.0766, 0.08585, 0.08315, 0.08195, 0.0807]","[0.74659, 0.848618, 0.8459685, 0.91911983, 0.9353936, 0.9529626, 0.96726346, 0.9720417, 0.976274, 0.958654, 0.96429676, 0.9728631, 0.97666115, 0.9734747, 0.97832966]","[0.74659, 0.848618, 0.8459685, 0.91911983, 0.9353936, 0.9529626, 0.96726346, 0.9720417, 0.976274, 0.958654, 0.96429676, 0.9728631, 0.97666115, 0.9734747, 0.97832966]",2.940090994,0.0854,0.9611111,1.0269219,milestone-experiments2,benchmark_testing
SGD,relu,ResNet18,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[0.09945, 0.09945, 0.09945, 0.09945, 0.09945, 0.09945, 0.09945, 0.09945, 0.09945, 0.09945, 0.09945, 0.09945, 0.09945, 0.09945, 0.09945]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",nan,0.0976,nan,nan,milestone-experiments2,benchmark_testing
SGD,selu,ResNet18,"[2.6358885837554933, 2.6422341026306153, 2.6400737060546877, 2.632878803253174, 2.6269796657562257, 2.622296617126465, 2.6281558391571047, 2.6929722839355468, 2.7097704532623292, 2.7320706745147705, 2.7405983810424805, 2.7274293434143067, 2.720543302154541, 2.7133744567871094, 2.7026148918151853]","[0.1562, 0.1499, 0.15365, 0.1619, 0.16445, 0.17175, 0.15805, 0.09465, 0.0871, 0.0683, 0.05415, 0.06105, 0.0664, 0.0762, 0.08135]","[10.106058, 10.094604, 10.112042, 10.138266, 10.126241, 10.087491, 10.123131, 10.356838, 10.4096365, 10.463973, 10.524956, 10.5527, 10.576373, 10.597734, 10.606832]","[10.106058, 10.094604, 10.112042, 10.138266, 10.126241, 10.087491, 10.123131, 10.356838, 10.4096365, 10.463973, 10.524956, 10.5527, 10.576373, 10.597734, 10.606832]",2.672713068,0.0906,4.7579527,75.03769,milestone-experiments2,benchmark_testing
SGD,tanh,ResNet18,"[2.7005941947937013, 2.6990811557769776, 2.6956486026763917, 2.699271879577637, 2.697662461853027, 2.699811420440674, 2.699829945755005, 2.69293769493103, 2.695097043609619, 2.691100998687744, 2.6947912906646727, 2.7045698833465575, 2.6985921852111816, 2.695481121826172, 2.693699521636963]","[0.1002, 0.10005, 0.1007, 0.10015, 0.1, 0.0996, 0.10095, 0.10075, 0.1022, 0.0999, 0.1023, 0.10415, 0.1022, 0.1018, 0.1016]","[1.0045117, 1.0049689, 1.0048769, 1.0054525, 1.0049374, 1.0054122, 1.0050889, 1.0052803, 1.0055248, 1.0045583, 1.003892, 1.0042014, 1.0071371, 1.0067272, 1.0067692]","[1.0045117, 1.0049689, 1.0048769, 1.0054525, 1.0049374, 1.0054122, 1.0050889, 1.0052803, 1.0055248, 1.0045583, 1.003892, 1.0042014, 1.0071371, 1.0067272, 1.0067692]",2.699215483,0.1026,0.92432743,0.9495164,milestone-experiments2,benchmark_testing
